Address,Frontage,Access Road,Area,Bedrooms,Bathrooms,Floors,House direction,Balcony direction,Legal status,Furniture state,Price
"Quan 7, TP.HCM",9.149686763719908,13.449568440325752,105.70741584632958,5.60921194256321,0.9812677300221331,1.962538086888131,Southeast,West,Pink book,nan,9079.50766554753
"Quan 7, TP.HCM",8.703437182324306,12.978338379659494,208.36650892055212,0.7909960789845119,1.0760295745917523,3.1959468194283187,East,North,Pink book,Basic furnished,19204.148700856593
"Nam Tu Liem, Ha Noi",5.429172184425184,17.188790814996715,195.88083344137942,6.053242843060736,0.9079205138062157,3.090167524402961,West,South,Red book,Basic furnished,18024.08536201135
"Nha Trang, Khanh Hoa",6.250652800105843,12.789643115619063,121.0930225739111,2.0334181752007607,1.686452780179236,3.5749804643525023,Southeast,East,Pink book,Unfurnished,8614.066854284685
"Cau Giay, Ha Noi",7.943079947997247,18.85499600241068,112.84621285087836,4.8795585217642845,0.8817182407706058,3.7696498533136933,East,West,Pink book,,7941.0799364201475
"Thu Duc, TP.HCM",10.194955914116624,6.278057451553357,100.82931809228775,2.624863969299237,3.745398082516156,4.297787008246752,Southeast,,Red book,Fully furnished,9291.367602755965
"Quan 1, TP.HCM",7.991003102911792,7.542952292318498,151.26649054640063,5.630559468640268,4.3878951494826,1.0986797443634446,East,West,Red book,Basic furnished,15896.386335086545
"Hai Chau, Da Nang",6.936839154022741,5.736853630907623,66.10221994176601,0.9508099392466152,4.106525580956458,4.447713190291099,Northwest,East,Sale contract,Unfurnished,5107.676029477297
"Quan 7, TP.HCM",6.757159436812406,16.611288364189246,97.42769989716722,5.076134793986067,5.054301531790594,1.0486471729600768,North,South,Sale contract,Basic furnished,4918.271220412191
"Cau Giay, Ha Noi",7.81944141357541,14.792328087487709,175.75513436241607,0.9724735566950945,1.0600628708471538,3.8951599413510394,Northwest,,Red book,Fully furnished,15741.59833198776
"Quan 1, TP.HCM",3.0715850731601972,3.391216737186634,152.710164446863,4.884345257412023,4.144939624490723,0.9867151273319148,South,West,Sale contract,Unfurnished,11327.325701685157
"Cau Giay, Ha Noi",7.627754728633505,3.694508961864555,179.97965916403453,0.9141974532451473,2.761779316943234,4.032751258415893,Northeast,nan,Pink book,Basic furnished,13234.003535060554
"Quan 7, TP.HCM",6.778475963886074,3.7054902264200926,265.8094788218943,0.8448071025117405,0.9389898428627879,5.067463754877318,Northwest,,Pink book,,9892.867670238924
"Thu Dau Mot, Binh Duong",8.23490029740384,8.223851798858853,151.6175125470021,4.008991828271425,0.9042330349329357,5.315869121900269,North,East,Red book,Fully furnished,10200.486746962388
"Hai Chau, Da Nang",5.748494579484898,9.686212454892054,207.1944253335526,3.1480809061716313,5.499576279655964,4.021007730595592,South,North,Sale contract,,27579.43754400189
"Quan 1, TP.HCM",8.87988246747538,10.99652538349797,139.9491989574067,5.2284080474106105,5.0738535434129215,3.0623718706196215,East,South,Pink book,Basic furnished,6443.850297328508
